大項目,中項目,小項目,設問,設問様式,選択肢,配点
1サステナビリティ体制,1.法令等遵守,A.法令等遵守に関する方針,(1)法令等遵守に関する方針や行動基準を策定していますか,複数,a.法令等遵守に関する方針はない、もしくは不明,0
1サステナビリティ体制,1.法令等遵守,A.法令等遵守に関する方針,(1)法令等遵守に関する方針や行動基準を策定していますか,複数,b.法令等遵守に関する方針がある,1
1サステナビリティ体制,1.法令等遵守,A.法令等遵守に関する方針,(1)法令等遵守に関する方針や行動基準を策定していますか,複数,c.法令等遵守に関する方針を具体化する行動基準等を策定している,1
1サステナビリティ体制,1.法令等遵守,A.法令等遵守に関する方針,(1)法令等遵守に関する方針や行動基準を策定していますか,複数,d.法令等遵守に関する方針もしくは行動基準等のどちらかを公表している,1
1サステナビリティ体制,1.法令等遵守,B.内部通報窓口（企業内の従業員が通報する窓口）及び外部通報窓口（企業の外に設置された、従業員からの通報を受ける窓口）,(1)内部通報窓口がありますか,複数,a.内部通報窓口は設置していない、もしくは不明,0
1サステナビリティ体制,1.法令等遵守,B.内部通報窓口（企業内の従業員が通報する窓口）及び外部通報窓口（企業の外に設置された、従業員からの通報を受ける窓口）,(1)内部通報窓口がありますか,複数,b.内部通報窓口を設置している,1
1サステナビリティ体制,1.法令等遵守,B.内部通報窓口（企業内の従業員が通報する窓口）及び外部通報窓口（企業の外に設置された、従業員からの通報を受ける窓口）,(1)内部通報窓口がありますか,複数,c.多様な内部通報の手段を設けている（例.メール、電話など）,1
1サステナビリティ体制,1.法令等遵守,B.内部通報窓口（企業内の従業員が通報する窓口）及び外部通報窓口（企業の外に設置された、従業員からの通報を受ける窓口）,(1)内部通報窓口がありますか,複数,d.内部通報窓口を設置し、周知に取組んでいる,2
1サステナビリティ体制,1.法令等遵守,B.内部通報窓口（企業内の従業員が通報する窓口）及び外部通報窓口（企業の外に設置された、従業員からの通報を受ける窓口）,(2)選択肢のb〜dについて、従業員が内部通報しやすい環境を整備していますか,複数,a.従業員が内部通報しやすい環境整備はしていない、もしくは不明,0
1サステナビリティ体制,1.法令等遵守,B.内部通報窓口（企業内の従業員が通報する窓口）及び外部通報窓口（企業の外に設置された、従業員からの通報を受ける窓口）,(2)選択肢のb〜dについて、従業員が内部通報しやすい環境を整備していますか,複数,b.外部通報窓口（例.法律事務所や民間の専門機関等)を設置している,1
1サステナビリティ体制,1.法令等遵守,B.内部通報窓口（企業内の従業員が通報する窓口）及び外部通報窓口（企業の外に設置された、従業員からの通報を受ける窓口）,(2)選択肢のb〜dについて、従業員が内部通報しやすい環境を整備していますか,複数,c.労働組合を通報窓口として指定している,1
1サステナビリティ体制,1.法令等遵守,B.内部通報窓口（企業内の従業員が通報する窓口）及び外部通報窓口（企業の外に設置された、従業員からの通報を受ける窓口）,(2)選択肢のb〜dについて、従業員が内部通報しやすい環境を整備していますか,複数,d.通報者の秘密を守るための工夫がなされている（例.専用回線の設置、勤務時間外の面談や個室の用意など）,2
1サステナビリティ体制,1.法令等遵守,B.内部通報窓口（企業内の従業員が通報する窓口）及び外部通報窓口（企業の外に設置された、従業員からの通報を受ける窓口）,(3)内部通報窓口へ法令や行動規範等の違反に関する通報があった場合、選択肢のb～fの取組みを行っている,複数,a.法令等の通報があった場合の取組みを実施していない、もしくは不明,0
1サステナビリティ体制,1.法令等遵守,B.内部通報窓口（企業内の従業員が通報する窓口）及び外部通報窓口（企業の外に設置された、従業員からの通報を受ける窓口）,(3)内部通報窓口へ法令や行動規範等の違反に関する通報があった場合、選択肢のb～fの取組みを行っている,複数,b.内部通報窓口での相談情報にもとづき対応し、問題があれば是正している,1
1サステナビリティ体制,1.法令等遵守,B.内部通報窓口（企業内の従業員が通報する窓口）及び外部通報窓口（企業の外に設置された、従業員からの通報を受ける窓口）,(3)内部通報窓口へ法令や行動規範等の違反に関する通報があった場合、選択肢のb～fの取組みを行っている,複数,c.内部通報情報のみならず、広く法令等遵守の情報を収集し、問題があれば是正している,1
1サステナビリティ体制,1.法令等遵守,B.内部通報窓口（企業内の従業員が通報する窓口）及び外部通報窓口（企業の外に設置された、従業員からの通報を受ける窓口）,(3)内部通報窓口へ法令や行動規範等の違反に関する通報があった場合、選択肢のb～fの取組みを行っている,複数,d.通報件数および内容の概要をプライバシーに配慮して公表している,1
1サステナビリティ体制,1.法令等遵守,B.内部通報窓口（企業内の従業員が通報する窓口）及び外部通報窓口（企業の外に設置された、従業員からの通報を受ける窓口）,(3)内部通報窓口へ法令や行動規範等の違反に関する通報があった場合、選択肢のb～fの取組みを行っている,複数,e.通報に基づく対応・是正結果についてプライバシーに配慮して公表している,1
1サステナビリティ体制,1.法令等遵守,B.内部通報窓口（企業内の従業員が通報する窓口）及び外部通報窓口（企業の外に設置された、従業員からの通報を受ける窓口）,(3)内部通報窓口へ法令や行動規範等の違反に関する通報があった場合、選択肢のb～fの取組みを行っている,複数,f.通報をしたことを理由に解雇等の不利益処分を行わないための仕組みを整備している,1
1サステナビリティ体制,2.基本方針・計画,A.事業活動におけるサステナビリティを巡る課題への対応の方針,"(1)事業活動におけるサステナビティに関する方針がありますか
【注】個別の分野の方針については非該当として扱ってください。",択一,a.サステナビリティに関する方針を策定していない、もしくは不明,0
1サステナビリティ体制,2.基本方針・計画,A.事業活動におけるサステナビリティを巡る課題への対応の方針,"(1)事業活動におけるサステナビティに関する方針がありますか
【注】個別の分野の方針については非該当として扱ってください。",択一,b.サステナビリティに関する方針がある,1
1サステナビリティ体制,2.基本方針・計画,A.事業活動におけるサステナビリティを巡る課題への対応の方針,"(1)事業活動におけるサステナビティに関する方針がありますか
【注】個別の分野の方針については非該当として扱ってください。",択一,c.サステナビリティに関する方針を公表している,2
1サステナビリティ体制,2.基本方針・計画,B.取組計画,(1)サステナビリティの取組みを促進するための計画がありますか,複数,a.サステナビリティの取組みの計画はない、もしくは不明,0
1サステナビリティ体制,2.基本方針・計画,B.取組計画,(1)サステナビリティの取組みを促進するための計画がありますか,複数,b.サステナビリティの取組みを促進するために中長期の計画を策定している,1
1サステナビリティ体制,2.基本方針・計画,B.取組計画,(1)サステナビリティの取組みを促進するための計画がありますか,複数,c.同計画を公表している,1
1サステナビリティ体制,2.基本方針・計画,B.取組計画,(1)サステナビリティの取組みを促進するための計画がありますか,複数,d.上記に加えて、特定した課題の取組みの進捗について公表している,1
1サステナビリティ体制,2.基本方針・計画,C.マテリアリティの特定,(1)サステナビリティの取組みを促進するために、マテリアリティ(重要課題)の特定をしていますか,複数,a.マテリアリティの特定はしていない、もしくは不明,0
1サステナビリティ体制,2.基本方針・計画,C.マテリアリティの特定,(1)サステナビリティの取組みを促進するために、マテリアリティ(重要課題)の特定をしていますか,複数,b.マテリアリティの特定をしている,2
1サステナビリティ体制,2.基本方針・計画,C.マテリアリティの特定,(1)サステナビリティの取組みを促進するために、マテリアリティ(重要課題)の特定をしていますか,複数,c.マテリアリティの特定にあたってステークホルダーの声を聞いている,2
1サステナビリティ体制,3.サステナビリティ推進の体制,A.事業活動におけるサステナビリティ推進,(1)サステナビリティ推進に関して取り組む部門・部署等がありますか,複数,a.サステナビリティの推進に関する部門・部署・担当はいない、もしくは不明,0
1サステナビリティ体制,3.サステナビリティ推進の体制,A.事業活動におけるサステナビリティ推進,(1)サステナビリティ推進に関して取り組む部門・部署等がありますか,複数,b.サステナビリティに関して取り組む部門・部署・担当を設置している,1
